date,open,close,high,low
2025-11-04,3973.458,3960.186,3985.882,3938.52
2025-11-05,3922.584,3969.248,3979.754,3922.584
2025-11-06,3973.349,4007.76,4008.799,3973.349
2025-11-07,3994.317,3997.556,4012.005,3993.691
2025-11-10,4001.794,4018.597,4018.696,3990.836
2025-11-11,4023.877,4002.758,4024.939,3991.516
2025-11-12,3996.565,4000.14,4020.378,3980.676
2025-11-13,3996.514,4029.501,4030.398,3994.771
2025-11-14,4007.126,3990.492,4034.079,3990.307
2025-11-17,3988.556,3972.035,3992.404,3958.948
2025-11-18,3962.444,3939.813,3966.885,3926.589
2025-11-19,3937.92,3946.742,3960.052,3930.075
2025-11-20,3960.699,3931.051,3967.971,3927.512
2025-11-21,3896.665,3834.891,3912.006,3834.749
2025-11-24,3848.657,3836.766,3854.331,3816.576
2025-11-25,3850.571,3870.023,3882.03,3845.138
2025-11-26,3867.429,3864.184,3879.923,3861.177
2025-11-27,3867.197,3875.259,3895.589,3864.131
2025-11-28,3870.944,3888.596,3888.889,3856.25
2025-12-01,3894.213,3914.006,3914.464,3890.949
2025-12-02,3908.456,3897.712,3908.769,3888.328
2025-12-03,3894.156,3878.0,3901.696,3869.953
2025-12-04,3879.742,3875.793,3888.86,3859.049
2025-12-05,3873.121,3902.808,3907.782,3863.314
2025-12-08,3909.226,3924.078,3936.311,3904.738
2025-12-09,3916.509,3909.522,3923.899,3902.128
2025-12-10,3901.128,3900.496,3906.116,3876.475
2025-12-11,3903.895,3873.318,3904.963,3862.821
2025-12-12,3869.413,3889.346,3891.807,3850.597
2025-12-15,3865.402,3867.921,3896.977,3863.63
2025-12-16,3861.515,3824.812,3862.427,3815.844
2025-12-17,3822.509,3870.278,3881.752,3817.996
2025-12-18,3857.257,3876.371,3888.285,3856.423
2025-12-19,3878.227,3890.448,3902.671,3871.777
2025-12-22,3900.535,3917.364,3920.012,3900.515
2025-12-23,3919.106,3919.979,3937.127,3910.745
2025-12-24,3920.347,3940.947,3947.041,3912.311
2025-12-25,3937.72,3959.621,3964.073,3936.078
2025-12-26,3957.833,3963.679,3977.706,3945.524
2025-12-29,3964.651,3965.28,3983.979,3956.946
2025-12-30,3947.871,3965.116,3979.99,3947.419
2025-12-31,3968.726,3968.84,3977.536,3955.487
2026-01-05,3986.972,4023.417,4025.263,3983.576
2026-01-06,4026.016,4083.667,4083.667,4025.088
2026-01-07,4083.843,4085.772,4098.777,4069.436
2026-01-08,4077.715,4082.979,4093.872,4067.122
2026-01-09,4086.762,4120.426,4121.723,4083.616
2026-01-12,4134.893,4165.287,4168.357,4119.879
2026-01-13,4169.704,4138.759,4179.702,4126.234
2026-01-14,4138.645,4126.093,4190.866,4103.621
2026-01-15,4106.224,4112.601,4133.073,4096.85
2026-01-16,4127.063,4101.913,4140.225,4091.811
2026-01-19,4090.719,4114.0,4126.518,4090.057
2026-01-20,4116.366,4113.649,4128.93,4080.294
2026-01-21,4103.529,4116.94,4135.959,4103.529
2026-01-22,4126.072,4122.576,4140.838,4109.923
2026-01-23,4130.108,4136.164,4143.75,4120.204
2026-01-26,4144.778,4132.605,4160.985,4124.7
2026-01-27,4125.216,4139.904,4158.802,4101.83
2026-01-28,4150.215,4151.238,4170.147,4138.019
2026-01-29,4155.919,4157.985,4170.214,4138.299
2026-01-30,4131.993,4117.948,4152.85,4064.777
2026-02-02,4079.708,4015.746,4103.407,4013.656
2026-02-03,4043.906,4067.738,4069.418,4002.782
2026-02-04,4064.677,4102.202,4104.621,4062.683
2026-02-05,4075.025,4075.917,4088.904,4048.939
2026-02-06,4040.299,4065.583,4095.03,4029.973
2026-02-09,4103.54,4123.09,4123.159,4093.056
2026-02-10,4127.766,4128.373,4134.338,4117.564
2026-02-11,4124.428,4131.985,4142.561,4122.428
2026-02-12,4136.99,4134.018,4140.593,4124.131
2026-02-13,4115.924,4082.073,4123.844,4079.77
2026-02-24,4129.134,4117.409,4131.55,4105.937
2026-02-25,4123.781,4147.231,4167.844,4122.699
2026-02-26,4151.068,4146.631,4152.193,4127.153
2026-02-27,4128.897,4162.882,4166.234,4128.36
2026-03-02,4151.801,4182.591,4188.77,4131.368
2026-03-03,4189.408,4122.676,4197.228,4116.011
2026-03-04,4087.632,4082.474,4106.04,4055.413
2026-03-05,4109.777,4108.567,4125.617,4090.621
2026-03-06,4085.895,4124.194,4129.465,4085.895
2026-03-09,4098.699,4096.602,4106.534,4052.545
2026-03-10,4098.587,4123.138,4123.958,4098.587
2026-03-11,4123.666,4133.433,4135.839,4112.8
2026-03-12,4133.2,4129.103,4141.649,4103.164
2026-03-13,4117.574,4095.449,4134.079,4086.847
2026-03-16,4092.249,4084.786,4096.133,4048.087
2026-03-17,4086.295,4049.907,4108.4,4049.58
2026-03-18,4053.305,4062.984,4065.373,4023.03
2026-03-19,4028.542,4006.552,4042.022,3994.165
2026-03-20,4004.573,3957.053,4022.703,3955.711
2026-03-23,3904.951,3813.283,3906.622,3794.684
2026-03-24,3849.631,3881.28,3881.424,3807.994
2026-03-25,3892.269,3931.838,3933.061,3891.816
2026-03-26,3924.962,3889.084,3937.104,3880.573
2026-03-27,3852.094,3913.724,3924.108,3852.094
2026-03-30,3884.277,3923.287,3924.289,3872.776
2026-03-31,3924.067,3891.861,3948.811,3891.861
2026-04-01,3939.566,3948.552,3955.943,3929.921
2026-04-02,3940.799,3919.285,3952.576,3900.116
2026-04-03,3927.592,3880.097,3929.529,3871.3
2026-04-07,3884.151,3890.165,3902.607,3875.684
